TransactionAmount,AccountBalance,TransactionDuration,LoginAttempts,CustomerAge,TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,CustomerAge_binned,TransactionAmount_binned,Target
-0.9705457776964133,-0.0003151297671230473,-0.5483933775337999,-0.2046294076264745,1.4198617381496486,14.09,1,36,0,70.0,0,81.0,1.0,5112.21,0,1,1
0.2689630980830924,2.2183807457903577,0.3079597138762569,-0.2046294076264745,1.307715254857371,376.24,1,15,0,68.0,0,141.0,1.0,13758.91,0,0,3
-0.5865256317280008,-1.0240913595486316,-0.9052071656213235,-0.2046294076264745,-1.439873585803431,126.29,1,23,2,19.0,3,56.0,1.0,1122.35,1,1,2
-0.3872937895103424,0.8866936524759148,-1.347656262849853,-0.2046294076264745,-1.0473608942804593,184.5,1,33,2,26.0,3,25.0,1.0,8569.06,1,1,1
-0.7033745424531488,-1.111505416232241,0.7504088111047863,-0.2046294076264745,-1.4959468274495697,92.15,1,28,0,18.0,3,172.0,1.0,781.68,1,1,2
1.773966115776767,-1.049871411431692,0.008236131882737053,-0.2046294076264745,0.5787631134575663,815.96,1,26,0,55.0,0,120.0,1.0,1021.88,0,0,2
-0.36840081976216377,-0.9197959490938808,0.7646813626282872,-0.2046294076264745,-1.3277271025111534,190.02,1,22,2,21.0,3,173.0,1.0,1528.81,1,1,2
1.6569118466847907,-1.2634068088295642,0.051053786453239894,-0.2046294076264745,-1.0473608942804593,781.76,1,22,0,26.0,3,123.0,1.0,189.69,1,0,2
-0.4472242062296552,-1.235119828441502,0.20805185321175032,-0.2046294076264745,-1.4959468274495697,166.99,1,21,2,18.0,3,134.0,1.0,299.93,1,1,2
0.5742967631618986,-0.4228416355328183,0.13668909559424558,-0.2046294076264745,-0.4866284778190712,465.45,1,10,0,36.0,1,129.0,1.0,3465.54,1,0,2
0.6683508951691355,-0.0008899015021489268,1.635307005561845,-0.2046294076264745,-0.31840875288065473,492.93,1,8,2,39.0,1,234.0,1.0,5109.97,1,0,1
-0.8157397955025515,0.16356666118214688,-1.1621130930443406,-0.2046294076264745,1.4759349797957872,59.32,1,20,1,71.0,2,38.0,1.0,5750.89,0,1,1
-0.7252109821258625,1.0347820504382,-0.3771227592517885,-0.2046294076264745,-0.37448199452679354,85.77,1,19,1,38.0,0,93.0,1.0,9146.19,1,1,3
-0.8401089883661441,0.9908376721611724,0.008236131882737053,-0.2046294076264745,-0.31840875288065473,52.2,1,1,2,39.0,1,120.0,1.0,8974.93,1,1,3
-0.5206398223706753,-0.8166064610400058,-0.33430510468128566,-0.2046294076264745,-1.3277271025111534,145.54,1,33,2,21.0,3,96.0,1.0,1930.96,1,1,2
-0.8807699449980937,-0.6227339020595613,-0.34857765620478665,-0.2046294076264745,-0.4305552361729324,40.32,1,25,1,37.0,1,95.0,1.0,2686.52,1,1,2
-0.5825553699693257,-0.8573793309934081,1.10722259919231,-0.2046294076264745,-0.03804254464996068,127.45,1,19,2,44.0,0,197.0,1.0,1772.06,1,1,2
-0.8265211097610229,-0.9652439712848602,2.3346620302133916,-0.2046294076264745,-0.9912876526343205,56.17,1,11,1,27.0,3,283.0,1.0,1351.69,1,1,2
-0.8164243233919781,1.2086120111048604,1.9635756906023667,-0.2046294076264745,-0.8791411693420429,59.12,1,3,0,29.0,0,257.0,1.0,9823.64,1,1,3
1.985656365581992,-1.2096990088928328,0.4364126775877655,-0.2046294076264745,-1.2716538608650145,877.81,1,20,2,22.0,3,150.0,1.0,399.0,1,0,2
-0.5917622700821156,0.16711536345688288,-1.0622052323798339,-0.2046294076264745,0.24232366358073337,124.76,1,39,1,49.0,1,45.0,1.0,5764.72,0,1,1
-0.7513599475019647,-1.080988629425708,0.3650499199702607,-0.2046294076264745,-1.0473608942804593,78.13,1,25,1,26.0,3,145.0,1.0,900.61,1,1,2
0.12996971013498876,-1.0505103317978595,1.378401078138828,-0.2046294076264745,0.5787631134575663,335.63,1,28,2,55.0,2,216.0,1.0,1019.39,0,0,2
0.10546361169351084,-0.20265274211297196,-0.006036419640763895,-0.2046294076264745,1.0273490466266768,328.47,1,35,0,63.0,2,119.0,1.0,4323.66,0,0,1
-0.9023325735150366,2.3352775133465027,-1.4332915719908585,-0.2046294076264745,-0.37448199452679354,34.02,1,30,2,38.0,0,19.0,1.0,14214.48,1,1,3
-0.8294303532910866,-1.2500382340997198,-0.03458152268776579,-0.2046294076264745,-1.439873585803431,55.32,1,40,0,19.0,3,117.0,1.0,241.79,1,1,2
0.022772642650758162,-1.0891996542117928,-1.2334758506618453,-0.2046294076264745,-0.9912876526343205,304.31,1,21,1,27.0,3,33.0,1.0,868.61,1,0,2
0.4710015046474005,-0.11294216443450432,-0.41994041382229136,-0.2046294076264745,1.6441547047342038,435.27,1,6,1,74.0,2,90.0,1.0,4673.28,0,0,1
-0.4557808048474897,-0.9248098061038839,-0.6340286866748056,-0.2046294076264745,-1.0473608942804593,164.49,1,3,1,26.0,3,75.0,1.0,1509.27,1,1,2
0.7275967839990216,-1.1115002843417499,-0.20585214096977716,-0.2046294076264745,-1.439873585803431,510.24,1,28,2,19.0,3,105.0,1.0,781.7,1,0,2
1.1268819019016505,-1.2439518119770345,0.2651420593057541,-0.2046294076264745,-1.0473608942804593,626.9,1,10,2,26.0,3,138.0,1.0,265.51,1,0,2
-0.7263746795378879,2.5124355049967737,0.3650499199702607,-0.2046294076264745,1.251642013211232,85.43,1,41,1,67.0,0,145.0,1.0,14904.9,0,1,3
-0.4386333812173494,-1.0763006474619026,0.32223226539975786,-0.2046294076264745,-0.9352144109881817,169.5,1,36,1,28.0,3,142.0,1.0,918.88,1,1,2
-0.660660002152919,-0.1631063939869911,-0.41994041382229136,-0.2046294076264745,0.971275804980538,104.63,1,29,0,62.0,2,90.0,1.0,4477.78,0,1,1
0.06603480526252935,-0.9723413758343322,-0.5198482744867979,-0.2046294076264745,-1.1034341359265982,316.95,1,23,1,25.0,3,83.0,1.0,1324.03,1,0,2
0.30414783159962777,0.1327034717674505,-1.3048386082793502,-0.2046294076264745,0.18625042193459457,386.52,1,16,1,48.0,1,28.0,1.0,5630.61,0,0,1
-0.6351955646662435,-1.0733703379913686,-0.9765699232388283,-0.2046294076264745,-1.2155806192188758,112.07,1,18,1,23.0,3,51.0,1.0,930.3,1,1,2
0.17792088878933324,0.3946890472937141,1.5211265933738374,-0.2046294076264745,0.18625042193459457,349.64,1,19,2,48.0,1,226.0,1.0,6651.62,0,0,1
-0.9990221378965665,2.2771947767659357,0.06532633797674084,-0.2046294076264745,0.2983969052268722,5.77,1,5,2,50.0,0,124.0,1.0,13988.12,0,1,3
0.002613296307140128,-0.5385118812615421,1.5068540418503364,-0.2046294076264745,0.6348363551037051,298.42,1,16,1,56.0,2,225.0,1.0,3014.75,0,0,2
0.764629742817009,-0.8113565370674028,0.12241654407074462,-0.2046294076264745,-1.1034341359265982,521.06,1,0,1,25.0,3,128.0,1.0,1951.42,1,0,2
-0.5616772693418094,-0.3251458362498831,1.4354912842328318,-0.2046294076264745,-0.03804254464996068,133.55,1,1,0,44.0,1,220.0,1.0,3846.28,1,1,2
-0.528614572282497,0.32366368289408065,0.22232440473525125,-0.2046294076264745,-0.54270171946521,143.21,1,9,2,35.0,1,135.0,1.0,6374.82,1,1,1
-0.9339919884010243,0.1931058228500869,-0.9194797171448245,-0.2046294076264745,0.971275804980538,24.77,1,4,0,62.0,2,55.0,1.0,5866.01,0,1,1
